m,modified_constraint,old_bound,new_bound,representation,original_characters,modified_characters,lines_inserted,lines_deleted,lines_changed,tokens_inserted,tokens_deleted,tokens_changed,tree_edit_distance,bounds_changed,existing_checks_changed
1,C1,8,6,tl,101,101,0,0,1,0,0,1,1,1,
1,C1,8,6,explicit_timed,1067,1067,0,0,1,0,0,1,1,1,1
1,C1,8,6,parameterized,161,161,0,0,1,0,0,1,1,1,
2,C1,8,6,tl,123,123,0,0,1,0,0,1,1,1,
2,C1,8,6,explicit_timed,1200,1200,0,0,1,0,0,1,1,1,1
2,C1,8,6,parameterized,182,182,0,0,1,0,0,1,1,1,
3,C2,8,6,tl,145,145,0,0,1,0,0,1,1,1,
3,C2,8,6,explicit_timed,1333,1333,0,0,1,0,0,1,1,1,1
3,C2,8,6,parameterized,203,203,0,0,1,0,0,1,1,1,
4,C2,8,6,tl,167,167,0,0,1,0,0,1,1,1,
4,C2,8,6,explicit_timed,1466,1466,0,0,1,0,0,1,1,1,1
4,C2,8,6,parameterized,224,224,0,0,1,0,0,1,1,1,
5,C3,8,6,tl,190,190,0,0,1,0,0,1,1,1,
5,C3,8,6,explicit_timed,1599,1599,0,0,1,0,0,1,1,1,1
5,C3,8,6,parameterized,246,246,0,0,1,0,0,1,1,1,
