m,variant,test_type,modified_constraint,old_bound,new_bound,num_trajectories,tl_matches,tl_mismatches,explicit_matches,explicit_mismatches,parameterized_matches,parameterized_mismatches
0,base,gap_enumeration,,,,19683,19683,0,19683,0,19683,0
0,base,missing_target,,,,10,10,0,10,0,10,0
0,base,adjacent_swap,,,,9,9,0,9,0,9,0
1,base,gap_enumeration,,,,19683,19683,0,19683,0,19683,0
1,base,missing_target,,,,10,10,0,10,0,10,0
1,base,adjacent_swap,,,,9,9,0,9,0,9,0
2,base,gap_enumeration,,,,19683,19683,0,19683,0,19683,0
2,base,missing_target,,,,10,10,0,10,0,10,0
2,base,adjacent_swap,,,,9,9,0,9,0,9,0
3,base,gap_enumeration,,,,19683,19683,0,19683,0,19683,0
3,base,missing_target,,,,10,10,0,10,0,10,0
3,base,adjacent_swap,,,,9,9,0,9,0,9,0
4,base,gap_enumeration,,,,19683,19683,0,19683,0,19683,0
4,base,missing_target,,,,10,10,0,10,0,10,0
4,base,adjacent_swap,,,,9,9,0,9,0,9,0
5,base,gap_enumeration,,,,19683,19683,0,19683,0,19683,0
5,base,missing_target,,,,10,10,0,10,0,10,0
5,base,adjacent_swap,,,,9,9,0,9,0,9,0
1,constraint_add_C1,modified_constraint_addition_gap,C1,,,19683,19683,0,19683,0,19683,0
1,constraint_add_C1,modified_constraint_addition_missing_target,C1,,,10,10,0,10,0,10,0
1,constraint_add_C1,modified_constraint_addition_adjacent_swap,C1,,,9,9,0,9,0,9,0
2,constraint_add_C2,modified_constraint_addition_gap,C2,,,19683,19683,0,19683,0,19683,0
2,constraint_add_C2,modified_constraint_addition_missing_target,C2,,,10,10,0,10,0,10,0
2,constraint_add_C2,modified_constraint_addition_adjacent_swap,C2,,,9,9,0,9,0,9,0
3,constraint_add_C3,modified_constraint_addition_gap,C3,,,19683,19683,0,19683,0,19683,0
3,constraint_add_C3,modified_constraint_addition_missing_target,C3,,,10,10,0,10,0,10,0
3,constraint_add_C3,modified_constraint_addition_adjacent_swap,C3,,,9,9,0,9,0,9,0
4,constraint_add_C4,modified_constraint_addition_gap,C4,,,19683,19683,0,19683,0,19683,0
4,constraint_add_C4,modified_constraint_addition_missing_target,C4,,,10,10,0,10,0,10,0
4,constraint_add_C4,modified_constraint_addition_adjacent_swap,C4,,,9,9,0,9,0,9,0
5,constraint_add_C5,modified_constraint_addition_gap,C5,,,19683,19683,0,19683,0,19683,0
5,constraint_add_C5,modified_constraint_addition_missing_target,C5,,,10,10,0,10,0,10,0
5,constraint_add_C5,modified_constraint_addition_adjacent_swap,C5,,,9,9,0,9,0,9,0
1,numeric_C1_8_to_6,modified_numeric_bound_gap,C1,8,6,19683,19683,0,19683,0,19683,0
1,numeric_C1_8_to_6,modified_numeric_bound_missing_target,C1,8,6,10,10,0,10,0,10,0
1,numeric_C1_8_to_6,modified_numeric_bound_adjacent_swap,C1,8,6,9,9,0,9,0,9,0
2,numeric_C1_8_to_6,modified_numeric_bound_gap,C1,8,6,19683,19683,0,19683,0,19683,0
2,numeric_C1_8_to_6,modified_numeric_bound_missing_target,C1,8,6,10,10,0,10,0,10,0
2,numeric_C1_8_to_6,modified_numeric_bound_adjacent_swap,C1,8,6,9,9,0,9,0,9,0
3,numeric_C2_8_to_6,modified_numeric_bound_gap,C2,8,6,19683,19683,0,19683,0,19683,0
3,numeric_C2_8_to_6,modified_numeric_bound_missing_target,C2,8,6,10,10,0,10,0,10,0
3,numeric_C2_8_to_6,modified_numeric_bound_adjacent_swap,C2,8,6,9,9,0,9,0,9,0
4,numeric_C2_8_to_6,modified_numeric_bound_gap,C2,8,6,19683,19683,0,19683,0,19683,0
4,numeric_C2_8_to_6,modified_numeric_bound_missing_target,C2,8,6,10,10,0,10,0,10,0
4,numeric_C2_8_to_6,modified_numeric_bound_adjacent_swap,C2,8,6,9,9,0,9,0,9,0
5,numeric_C3_8_to_6,modified_numeric_bound_gap,C3,8,6,19683,19683,0,19683,0,19683,0
5,numeric_C3_8_to_6,modified_numeric_bound_missing_target,C3,8,6,10,10,0,10,0,10,0
5,numeric_C3_8_to_6,modified_numeric_bound_adjacent_swap,C3,8,6,9,9,0,9,0,9,0
