n,representation,characters,lines,tokens,tl_ast_nodes,tl_atoms,tl_eventually,tl_and,tl_ast_depth,fsm_states,fsm_transitions,fsm_conditions,fsm_variables,fsm_branches,parameter_count,python_ast_nodes
1,tl,6,1,4,2,1,1,0,2,,,,,,,
1,explicit_fsm,185,6,30,,,,,,2,1,1,1,1,,36
1,parameterized,17,1,5,,,,,,,,,,,1,
2,tl,14,1,9,5,2,2,1,4,,,,,,,
2,explicit_fsm,266,8,42,,,,,,3,2,2,1,2,,53
2,parameterized,23,1,7,,,,,,,,,,,2,
3,tl,22,1,14,8,3,3,2,6,,,,,,,
3,explicit_fsm,347,10,54,,,,,,4,3,3,1,3,,70
3,parameterized,29,1,9,,,,,,,,,,,3,
4,tl,30,1,19,11,4,4,3,8,,,,,,,
4,explicit_fsm,428,12,66,,,,,,5,4,4,1,4,,87
4,parameterized,35,1,11,,,,,,,,,,,4,
5,tl,38,1,24,14,5,5,4,10,,,,,,,
5,explicit_fsm,509,14,78,,,,,,6,5,5,1,5,,104
5,parameterized,41,1,13,,,,,,,,,,,5,
6,tl,46,1,29,17,6,6,5,12,,,,,,,
6,explicit_fsm,590,16,90,,,,,,7,6,6,1,6,,121
6,parameterized,47,1,15,,,,,,,,,,,6,
7,tl,54,1,34,20,7,7,6,14,,,,,,,
7,explicit_fsm,671,18,102,,,,,,8,7,7,1,7,,138
7,parameterized,53,1,17,,,,,,,,,,,7,
8,tl,62,1,39,23,8,8,7,16,,,,,,,
8,explicit_fsm,752,20,114,,,,,,9,8,8,1,8,,155
8,parameterized,59,1,19,,,,,,,,,,,8,
9,tl,70,1,44,26,9,9,8,18,,,,,,,
9,explicit_fsm,833,22,126,,,,,,10,9,9,1,9,,172
9,parameterized,65,1,21,,,,,,,,,,,9,
10,tl,79,1,49,29,10,10,9,20,,,,,,,
10,explicit_fsm,917,24,138,,,,,,11,10,10,1,10,,189
10,parameterized,72,1,23,,,,,,,,,,,10,
