n,test_type,num_trajectories,tl_oracle_matches,tl_oracle_mismatches,fsm_oracle_matches,fsm_oracle_mismatches,parameterized_oracle_matches,parameterized_oracle_mismatches,random_seed
1,exhaustive,15,15,0,15,0,15,0,
2,exhaustive,121,121,0,121,0,121,0,
3,exhaustive,1365,1365,0,1365,0,1365,0,
4,exhaustive,19531,19531,0,19531,0,19531,0,
5,randomized_uniform,4000,4000,0,4000,0,4000,0,20261332
5,randomized_satisfying,4000,4000,0,4000,0,4000,0,20261333
5,randomized_incomplete,3000,3000,0,3000,0,3000,0,20261334
5,randomized_early_future,3000,3000,0,3000,0,3000,0,20261335
5,randomized_repeated,3000,3000,0,3000,0,3000,0,20261336
5,randomized_irrelevant,3000,3000,0,3000,0,3000,0,20261337
6,randomized_uniform,4000,4000,0,4000,0,4000,0,20261432
6,randomized_satisfying,4000,4000,0,4000,0,4000,0,20261433
6,randomized_incomplete,3000,3000,0,3000,0,3000,0,20261434
6,randomized_early_future,3000,3000,0,3000,0,3000,0,20261435
6,randomized_repeated,3000,3000,0,3000,0,3000,0,20261436
6,randomized_irrelevant,3000,3000,0,3000,0,3000,0,20261437
7,randomized_uniform,4000,4000,0,4000,0,4000,0,20261532
7,randomized_satisfying,4000,4000,0,4000,0,4000,0,20261533
7,randomized_incomplete,3000,3000,0,3000,0,3000,0,20261534
7,randomized_early_future,3000,3000,0,3000,0,3000,0,20261535
7,randomized_repeated,3000,3000,0,3000,0,3000,0,20261536
7,randomized_irrelevant,3000,3000,0,3000,0,3000,0,20261537
8,randomized_uniform,4000,4000,0,4000,0,4000,0,20261632
8,randomized_satisfying,4000,4000,0,4000,0,4000,0,20261633
8,randomized_incomplete,3000,3000,0,3000,0,3000,0,20261634
8,randomized_early_future,3000,3000,0,3000,0,3000,0,20261635
8,randomized_repeated,3000,3000,0,3000,0,3000,0,20261636
8,randomized_irrelevant,3000,3000,0,3000,0,3000,0,20261637
9,randomized_uniform,4000,4000,0,4000,0,4000,0,20261732
9,randomized_satisfying,4000,4000,0,4000,0,4000,0,20261733
9,randomized_incomplete,3000,3000,0,3000,0,3000,0,20261734
9,randomized_early_future,3000,3000,0,3000,0,3000,0,20261735
9,randomized_repeated,3000,3000,0,3000,0,3000,0,20261736
9,randomized_irrelevant,3000,3000,0,3000,0,3000,0,20261737
10,randomized_uniform,4000,4000,0,4000,0,4000,0,20261832
10,randomized_satisfying,4000,4000,0,4000,0,4000,0,20261833
10,randomized_incomplete,3000,3000,0,3000,0,3000,0,20261834
10,randomized_early_future,3000,3000,0,3000,0,3000,0,20261835
10,randomized_repeated,3000,3000,0,3000,0,3000,0,20261836
10,randomized_irrelevant,3000,3000,0,3000,0,3000,0,20261837
