m,representation,characters,lines,tokens,tl_ast_nodes,tl_atoms,tl_and,tl_eventually,tl_always,tl_implication,tl_bounded_eventually,tl_ast_depth,tl_timing_constraints,explicit_states,explicit_transitions,explicit_branches,explicit_conditions,explicit_variables,explicit_timing_variables,explicit_timing_start_rules,explicit_deadline_checks,explicit_numeric_bounds,parameter_target_count,parameter_constraint_count,parameter_constraint_fields,python_ast_nodes
0,tl,79,1,49,29,10,9,10,0,0,0,20,0,,,,,,,,,,,,,
0,explicit_timed,934,24,143,,,,,,,,,,11,10,10,10,1,0,0,0,0,,,,196
0,parameterized,139,13,28,,,,,,,,,,,,,,,,,,,10,0,0,
1,tl,101,2,64,35,12,10,10,1,1,1,21,1,,,,,,,,,,,,,
1,explicit_timed,1067,28,162,,,,,,,,,,11,10,10,11,2,1,1,1,1,,,,224
1,parameterized,161,15,36,,,,,,,,,,,,,,,,,,,10,1,3,
2,tl,123,3,79,41,14,11,10,2,2,2,22,2,,,,,,,,,,,,,
2,explicit_timed,1200,32,181,,,,,,,,,,11,10,10,12,3,2,2,2,2,,,,252
2,parameterized,182,16,44,,,,,,,,,,,,,,,,,,,10,2,6,
3,tl,145,4,94,47,16,12,10,3,3,3,23,3,,,,,,,,,,,,,
3,explicit_timed,1333,36,200,,,,,,,,,,11,10,10,13,4,3,3,3,3,,,,280
3,parameterized,203,17,52,,,,,,,,,,,,,,,,,,,10,3,9,
4,tl,167,5,109,53,18,13,10,4,4,4,24,4,,,,,,,,,,,,,
4,explicit_timed,1466,40,219,,,,,,,,,,11,10,10,14,5,4,4,4,4,,,,308
4,parameterized,224,18,60,,,,,,,,,,,,,,,,,,,10,4,12,
5,tl,190,6,124,59,20,14,10,5,5,5,25,5,,,,,,,,,,,,,
5,explicit_timed,1599,44,238,,,,,,,,,,11,10,10,15,6,5,5,5,5,,,,336
5,parameterized,246,19,68,,,,,,,,,,,,,,,,,,,10,5,15,
