k,modified_stage,old_goal,new_goal,representation,original_characters,modified_characters,lines_inserted,lines_deleted,lines_changed,tokens_inserted,tokens_deleted,tokens_changed,tree_edit_distance,goal_mappings_changed,existing_conditions_changed,existing_dependencies_changed
1,1,P1,X1,tl,137,137,0,0,1,0,0,1,1,1,0,0
1,1,P1,X1,explicit_conditional,1177,1177,0,0,1,0,0,1,1,1,1,1
1,1,P1,X1,parameterized,50,50,0,0,1,0,0,1,1,1,0,0
2,1,P1,X1,tl,265,265,0,0,1,0,0,1,1,1,0,0
2,1,P1,X1,explicit_conditional,1911,1911,0,0,1,0,0,1,1,1,1,1
2,1,P1,X1,parameterized,87,87,0,0,1,0,0,1,1,1,0,0
3,2,P2,X2,tl,393,393,0,0,1,0,0,1,1,1,0,0
3,2,P2,X2,explicit_conditional,2645,2645,0,0,1,0,0,1,1,1,1,1
3,2,P2,X2,parameterized,124,124,0,0,1,0,0,1,1,1,0,0
4,2,P2,X2,tl,521,521,0,0,1,0,0,1,1,1,0,0
4,2,P2,X2,explicit_conditional,3379,3379,0,0,1,0,0,1,1,1,1,1
4,2,P2,X2,parameterized,161,161,0,0,1,0,0,1,1,1,0,0
5,3,P3,X3,tl,649,649,0,0,1,0,0,1,1,1,0,0
5,3,P3,X3,explicit_conditional,4225,4225,0,0,1,0,0,1,1,1,1,1
5,3,P3,X3,parameterized,198,198,0,0,1,0,0,1,1,1,0,0
6,3,P3,X3,tl,777,777,0,0,1,0,0,1,1,1,0,0
6,3,P3,X3,explicit_conditional,4975,4975,0,0,1,0,0,1,1,1,1,1
6,3,P3,X3,parameterized,235,235,0,0,1,0,0,1,1,1,0,0
