k,representation,characters,lines,tokens,tl_ast_nodes,tl_atoms,tl_not,tl_and,tl_or,tl_eventually,tl_always,tl_implication,tl_bounded_eventually,tl_ast_depth,tl_decision_stages,tl_branch_clauses,tl_bounded_obligations,explicit_states,explicit_transitions,explicit_variables,explicit_selection_variables,explicit_timestamp_variables,explicit_completion_flags,explicit_decision_branches,explicit_goal_branches,explicit_branches,explicit_conditions,explicit_deadline_checks,explicit_numeric_bounds,explicit_branch_mappings,python_ast_nodes,parameter_stage_count,parameter_branch_count,parameter_goal_mapping_count,parameter_bound_count,parameter_task_fields
0,tl,9,2,6,4,2,0,1,0,1,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,
0,explicit_conditional,452,15,74,,,,,,,,,,,,,,2,1,2,0,0,0,0,0,3,2,0,0,0,93,,,,,
0,parameterized,12,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
1,tl,137,6,95,41,14,2,8,1,4,6,4,2,9,1,4,2,,,,,,,,,,,,,,,,,,,
1,explicit_conditional,1177,38,175,,,,,,,,,,,,,,3,5,5,1,1,1,2,2,7,8,2,2,2,228,,,,,
1,parameterized,50,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,6
2,tl,265,10,184,78,26,4,15,2,7,12,8,4,15,2,8,4,,,,,,,,,,,,,,,,,,,
2,explicit_conditional,1911,61,278,,,,,,,,,,,,,,4,9,8,2,2,2,4,4,11,14,4,4,4,364,,,,,
2,parameterized,87,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,12
3,tl,393,14,273,115,38,6,22,3,10,18,12,6,21,3,12,6,,,,,,,,,,,,,,,,,,,
3,explicit_conditional,2645,84,381,,,,,,,,,,,,,,5,13,11,3,3,3,6,6,15,20,6,6,6,500,,,,,
3,parameterized,124,5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,6,18
4,tl,521,18,362,152,50,8,29,4,13,24,16,8,27,4,16,8,,,,,,,,,,,,,,,,,,,
4,explicit_conditional,3379,107,484,,,,,,,,,,,,,,6,17,14,4,4,4,8,8,19,26,8,8,8,636,,,,,
4,parameterized,161,6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,8,8,24
5,tl,649,22,451,189,62,10,36,5,16,30,20,10,33,5,20,10,,,,,,,,,,,,,,,,,,,
5,explicit_conditional,4225,137,589,,,,,,,,,,,,,,7,21,17,5,5,5,10,10,23,32,10,10,10,772,,,,,
5,parameterized,198,7,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,10,30
6,tl,777,26,540,226,74,12,43,6,19,36,24,12,39,6,24,12,,,,,,,,,,,,,,,,,,,
6,explicit_conditional,4975,161,692,,,,,,,,,,,,,,8,25,20,6,6,6,12,12,27,38,12,12,12,908,,,,,
6,parameterized,235,8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,12,12,36
