k_before,k_after,representation,original_characters,modified_characters,lines_inserted,lines_deleted,lines_changed,tokens_inserted,tokens_deleted,tokens_changed,tree_edit_distance,stages_added,branches_added,goal_mappings_added,bounds_added,variables_added,timestamps_added,completion_flags_added,decision_branches_added,goal_checks_added
0,1,tl,9,137,4,0,1,89,0,0,37,1,2,2,2,,,,,
0,1,explicit_conditional,452,1177,23,0,1,103,2,0,17,1,2,2,2,3,1,1,2,2
0,1,parameterized,12,50,2,0,1,14,0,0,9,1,2,2,2,,,,,
1,2,tl,137,265,4,0,2,89,0,0,37,1,2,2,2,,,,,
1,2,explicit_conditional,1177,1911,23,0,1,103,0,1,17,1,2,2,2,3,1,1,2,2
1,2,parameterized,50,87,1,0,0,14,0,0,9,1,2,2,2,,,,,
2,3,tl,265,393,4,0,2,89,0,0,37,1,2,2,2,,,,,
2,3,explicit_conditional,1911,2645,23,0,1,103,0,1,17,1,2,2,2,3,1,1,2,2
2,3,parameterized,87,124,1,0,0,14,0,0,9,1,2,2,2,,,,,
3,4,tl,393,521,4,0,2,89,0,0,37,1,2,2,2,,,,,
3,4,explicit_conditional,2645,3379,23,0,1,103,0,1,17,1,2,2,2,3,1,1,2,2
3,4,parameterized,124,161,1,0,0,14,0,0,9,1,2,2,2,,,,,
4,5,tl,521,649,4,0,2,89,0,0,37,1,2,2,2,,,,,
4,5,explicit_conditional,3379,4225,30,0,1,105,0,1,17,1,2,2,2,3,1,1,2,2
4,5,parameterized,161,198,1,0,0,14,0,0,9,1,2,2,2,,,,,
5,6,tl,649,777,4,0,2,89,0,0,37,1,2,2,2,,,,,
5,6,explicit_conditional,4225,4975,24,0,1,103,0,1,17,1,2,2,2,3,1,1,2,2
5,6,parameterized,198,235,1,0,0,14,0,0,9,1,2,2,2,,,,,
