k,modified_stage,old_goal,new_goal,representation,lines_inserted,lines_deleted,lines_changed,tokens_inserted,tokens_deleted,tokens_changed,tree_edit_distance,task_values_changed,surface_tree_edit_distance,expanded_core_tree_edit_distance,surface_tokens_changed,expanded_tokens_inserted,expanded_tokens_deleted,expanded_tokens_changed
1,1,P1,X1,core_tl,0,0,1,0,0,1,1,1,,,,,,
1,1,P1,X1,macro_tl,0,0,1,0,0,1,1,1,1,1,1,0,0,1
1,1,P1,X1,explicit,0,0,1,0,0,1,1,1,,,,,,
1,1,P1,X1,parameterized,0,0,1,0,0,1,1,1,,,,,,
2,1,P1,X1,core_tl,0,0,1,0,0,1,1,1,,,,,,
2,1,P1,X1,macro_tl,0,0,1,0,0,1,1,1,1,1,1,0,0,1
2,1,P1,X1,explicit,0,0,1,0,0,1,1,1,,,,,,
2,1,P1,X1,parameterized,0,0,1,0,0,1,1,1,,,,,,
3,2,P2,X2,core_tl,0,0,1,0,0,1,1,1,,,,,,
3,2,P2,X2,macro_tl,0,0,1,0,0,1,1,1,1,1,1,0,0,1
3,2,P2,X2,explicit,0,0,1,0,0,1,1,1,,,,,,
3,2,P2,X2,parameterized,0,0,1,0,0,1,1,1,,,,,,
4,2,P2,X2,core_tl,0,0,1,0,0,1,1,1,,,,,,
4,2,P2,X2,macro_tl,0,0,1,0,0,1,1,1,1,1,1,0,0,1
4,2,P2,X2,explicit,0,0,1,0,0,1,1,1,,,,,,
4,2,P2,X2,parameterized,0,0,1,0,0,1,1,1,,,,,,
5,3,P3,X3,core_tl,0,0,1,0,0,1,1,1,,,,,,
5,3,P3,X3,macro_tl,0,0,1,0,0,1,1,1,1,1,1,0,0,1
5,3,P3,X3,explicit,0,0,1,0,0,1,1,1,,,,,,
5,3,P3,X3,parameterized,0,0,1,0,0,1,1,1,,,,,,
6,3,P3,X3,core_tl,0,0,1,0,0,1,1,1,,,,,,
6,3,P3,X3,macro_tl,0,0,1,0,0,1,1,1,1,1,1,0,0,1
6,3,P3,X3,explicit,0,0,1,0,0,1,1,1,,,,,,
6,3,P3,X3,parameterized,0,0,1,0,0,1,1,1,,,,,,
