k,representation,characters,lines,tokens,semantic_payload_fields,task_value_occurrences,surface_expansion_ratio,tokens_per_stage,surface_ast_nodes,surface_ast_depth,expanded_tokens,macro_compression_ratio,tl_ast_nodes,tl_atoms,tl_not,tl_and,tl_or,tl_eventually,tl_always,tl_implication,tl_bounded_eventually,tl_ast_depth,tl_decision_stages,tl_branch_clauses,tl_bounded_obligations,macro_invocations,macro_timed_choice_stage_count,macro_ordered_choices_count,macro_arguments,explicit_states,explicit_transitions,explicit_variables,explicit_selection_variables,explicit_timestamp_variables,explicit_completion_flags,explicit_decision_branches,explicit_goal_branches,explicit_branches,explicit_conditions,explicit_deadline_checks,explicit_numeric_bounds,explicit_branch_mappings,python_ast_nodes,parameter_stage_count,parameter_branch_count,parameter_goal_mapping_count,parameter_bound_count,parameter_task_fields
0,core_tl,9,2,6,0,0,,,4,3,,,4,2,0,1,0,1,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
0,macro_tl,34,3,11,0,0,,,4,2,6,0.545455,,,,,,,,,,,,,,3,0,1,2,,,,,,,,,,,,,,,,,,,
0,explicit,305,10,51,0,0,,,3,2,,,,,,,,,,,,,,,,,,,,2,1,2,0,0,0,0,0,0,2,0,0,0,64,,,,,
0,parameterized,12,1,4,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
1,core_tl,137,6,95,6,12,15.833333,89.0,41,9,,,41,14,2,8,1,4,6,4,2,9,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
1,macro_tl,91,6,30,6,8,5.0,19.0,14,4,95,3.166667,,,,,,,,,,,,,,4,1,1,10,,,,,,,,,,,,,,,,,,,
1,explicit,1030,33,152,6,6,25.333333,101.0,20,5,,,,,,,,,,,,,,,,,,,,3,5,5,1,1,1,2,2,4,8,2,2,2,199,,,,,
1,parameterized,50,3,18,6,6,3.0,14.0,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,6
2,core_tl,265,10,184,12,24,15.333333,89.0,78,15,,,78,26,4,15,2,7,12,8,4,15,2,8,4,,,,,,,,,,,,,,,,,,,,,,,
2,macro_tl,148,8,50,12,16,4.166667,19.5,24,4,184,3.68,,,,,,,,,,,,,,5,2,1,18,,,,,,,,,,,,,,,,,,,
2,explicit,1764,56,255,12,12,21.25,102.0,37,5,,,,,,,,,,,,,,,,,,,,4,9,8,2,2,2,4,4,8,14,4,4,4,335,,,,,
2,parameterized,87,4,32,12,12,2.666667,14.0,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,12
3,core_tl,393,14,273,18,36,15.166667,89.0,115,21,,,115,38,6,22,3,10,18,12,6,21,3,12,6,,,,,,,,,,,,,,,,,,,,,,,
3,macro_tl,205,10,70,18,24,3.888889,19.666667,34,4,273,3.9,,,,,,,,,,,,,,6,3,1,26,,,,,,,,,,,,,,,,,,,
3,explicit,2498,79,358,18,18,19.888889,102.333333,54,5,,,,,,,,,,,,,,,,,,,,5,13,11,3,3,3,6,6,12,20,6,6,6,471,,,,,
3,parameterized,124,5,46,18,18,2.555556,14.0,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,6,18
4,core_tl,521,18,362,24,48,15.083333,89.0,152,27,,,152,50,8,29,4,13,24,16,8,27,4,16,8,,,,,,,,,,,,,,,,,,,,,,,
4,macro_tl,262,12,90,24,32,3.75,19.75,44,4,362,4.022222,,,,,,,,,,,,,,7,4,1,34,,,,,,,,,,,,,,,,,,,
4,explicit,3232,102,461,24,24,19.208333,102.5,71,5,,,,,,,,,,,,,,,,,,,,6,17,14,4,4,4,8,8,16,26,8,8,8,607,,,,,
4,parameterized,161,6,60,24,24,2.5,14.0,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,8,8,24
5,core_tl,649,22,451,30,60,15.033333,89.0,189,33,,,189,62,10,36,5,16,30,20,10,33,5,20,10,,,,,,,,,,,,,,,,,,,,,,,
5,macro_tl,319,14,110,30,40,3.666667,19.8,54,4,451,4.1,,,,,,,,,,,,,,8,5,1,42,,,,,,,,,,,,,,,,,,,
5,explicit,4078,132,566,30,30,18.866667,103.0,88,5,,,,,,,,,,,,,,,,,,,,7,21,17,5,5,5,10,10,20,32,10,10,10,743,,,,,
5,parameterized,198,7,74,30,30,2.466667,14.0,47,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,10,30
6,core_tl,777,26,540,36,72,15.0,89.0,226,39,,,226,74,12,43,6,19,36,24,12,39,6,24,12,,,,,,,,,,,,,,,,,,,,,,,
6,macro_tl,376,16,130,36,48,3.611111,19.833333,64,4,540,4.153846,,,,,,,,,,,,,,9,6,1,50,,,,,,,,,,,,,,,,,,,
6,explicit,4828,156,669,36,36,18.583333,103.0,105,5,,,,,,,,,,,,,,,,,,,,8,25,20,6,6,6,12,12,24,38,12,12,12,879,,,,,
6,parameterized,235,8,88,36,36,2.444444,14.0,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,12,12,36
