k,variant,test_type,num_trajectories,core_tl_matches,core_tl_mismatches,macro_tl_matches,macro_tl_mismatches,explicit_matches,explicit_mismatches,parameterized_matches,parameterized_mismatches,macro_core_ast_equal,random_seed
0,base,branch_assignments,1,1,0,1,0,1,0,1,0,True,
1,base,branch_assignments,2,2,0,2,0,2,0,2,0,True,
1,base,deadline_exact,2,2,0,2,0,2,0,2,0,True,
1,base,deadline_plus_one,2,2,0,2,0,2,0,2,0,True,
1,base,missing_decision,1,1,0,1,0,1,0,1,0,True,
1,base,both_branches,1,1,0,1,0,1,0,1,0,True,
1,base,decision_order_violation,0,0,0,0,0,0,0,0,0,True,
1,base,missing_selected_goal,1,1,0,1,0,1,0,1,0,True,
1,base,wrong_goal_only,2,2,0,2,0,2,0,2,0,True,
1,base,goal_before_choice,2,2,0,2,0,2,0,2,0,True,
1,base,end_too_early,1,1,0,1,0,1,0,1,0,True,
1,base,goal_reordering,1,1,0,1,0,1,0,1,0,True,
1,base,random_structured,10000,10000,0,10000,0,10000,0,10000,0,True,20260902
2,base,branch_assignments,4,4,0,4,0,4,0,4,0,True,
2,base,deadline_exact,4,4,0,4,0,4,0,4,0,True,
2,base,deadline_plus_one,4,4,0,4,0,4,0,4,0,True,
2,base,missing_decision,2,2,0,2,0,2,0,2,0,True,
2,base,both_branches,2,2,0,2,0,2,0,2,0,True,
2,base,decision_order_violation,1,1,0,1,0,1,0,1,0,True,
2,base,missing_selected_goal,2,2,0,2,0,2,0,2,0,True,
2,base,wrong_goal_only,4,4,0,4,0,4,0,4,0,True,
2,base,goal_before_choice,4,4,0,4,0,4,0,4,0,True,
2,base,end_too_early,2,2,0,2,0,2,0,2,0,True,
2,base,goal_reordering,1,1,0,1,0,1,0,1,0,True,
2,base,random_structured,10000,10000,0,10000,0,10000,0,10000,0,True,20260903
3,base,branch_assignments,8,8,0,8,0,8,0,8,0,True,
3,base,deadline_exact,6,6,0,6,0,6,0,6,0,True,
3,base,deadline_plus_one,6,6,0,6,0,6,0,6,0,True,
3,base,missing_decision,3,3,0,3,0,3,0,3,0,True,
3,base,both_branches,3,3,0,3,0,3,0,3,0,True,
3,base,decision_order_violation,2,2,0,2,0,2,0,2,0,True,
3,base,missing_selected_goal,3,3,0,3,0,3,0,3,0,True,
3,base,wrong_goal_only,6,6,0,6,0,6,0,6,0,True,
3,base,goal_before_choice,6,6,0,6,0,6,0,6,0,True,
3,base,end_too_early,3,3,0,3,0,3,0,3,0,True,
3,base,goal_reordering,1,1,0,1,0,1,0,1,0,True,
3,base,random_structured,10000,10000,0,10000,0,10000,0,10000,0,True,20260904
4,base,branch_assignments,16,16,0,16,0,16,0,16,0,True,
4,base,deadline_exact,8,8,0,8,0,8,0,8,0,True,
4,base,deadline_plus_one,8,8,0,8,0,8,0,8,0,True,
4,base,missing_decision,4,4,0,4,0,4,0,4,0,True,
4,base,both_branches,4,4,0,4,0,4,0,4,0,True,
4,base,decision_order_violation,3,3,0,3,0,3,0,3,0,True,
4,base,missing_selected_goal,4,4,0,4,0,4,0,4,0,True,
4,base,wrong_goal_only,8,8,0,8,0,8,0,8,0,True,
4,base,goal_before_choice,8,8,0,8,0,8,0,8,0,True,
4,base,end_too_early,4,4,0,4,0,4,0,4,0,True,
4,base,goal_reordering,1,1,0,1,0,1,0,1,0,True,
4,base,random_structured,10000,10000,0,10000,0,10000,0,10000,0,True,20260905
5,base,branch_assignments,32,32,0,32,0,32,0,32,0,True,
5,base,deadline_exact,10,10,0,10,0,10,0,10,0,True,
5,base,deadline_plus_one,10,10,0,10,0,10,0,10,0,True,
5,base,missing_decision,5,5,0,5,0,5,0,5,0,True,
5,base,both_branches,5,5,0,5,0,5,0,5,0,True,
5,base,decision_order_violation,4,4,0,4,0,4,0,4,0,True,
5,base,missing_selected_goal,5,5,0,5,0,5,0,5,0,True,
5,base,wrong_goal_only,10,10,0,10,0,10,0,10,0,True,
5,base,goal_before_choice,10,10,0,10,0,10,0,10,0,True,
5,base,end_too_early,5,5,0,5,0,5,0,5,0,True,
5,base,goal_reordering,1,1,0,1,0,1,0,1,0,True,
5,base,random_structured,10000,10000,0,10000,0,10000,0,10000,0,True,20260906
6,base,branch_assignments,64,64,0,64,0,64,0,64,0,True,
6,base,deadline_exact,12,12,0,12,0,12,0,12,0,True,
6,base,deadline_plus_one,12,12,0,12,0,12,0,12,0,True,
6,base,missing_decision,6,6,0,6,0,6,0,6,0,True,
6,base,both_branches,6,6,0,6,0,6,0,6,0,True,
6,base,decision_order_violation,5,5,0,5,0,5,0,5,0,True,
6,base,missing_selected_goal,6,6,0,6,0,6,0,6,0,True,
6,base,wrong_goal_only,12,12,0,12,0,12,0,12,0,True,
6,base,goal_before_choice,12,12,0,12,0,12,0,12,0,True,
6,base,end_too_early,6,6,0,6,0,6,0,6,0,True,
6,base,goal_reordering,1,1,0,1,0,1,0,1,0,True,
6,base,full_reverse_infeasible,1,1,0,1,0,1,0,1,0,True,
6,base,random_structured,10000,10000,0,10000,0,10000,0,10000,0,True,20260907
1,stage_add_B1,modified_stage_add,15,15,0,15,0,15,0,15,0,True,
2,stage_add_B2,modified_stage_add,30,30,0,30,0,30,0,30,0,True,
3,stage_add_B3,modified_stage_add,47,47,0,47,0,47,0,47,0,True,
4,stage_add_B4,modified_stage_add,68,68,0,68,0,68,0,68,0,True,
5,stage_add_B5,modified_stage_add,97,97,0,97,0,97,0,97,0,True,
6,stage_add_B6,modified_stage_add,143,143,0,143,0,143,0,143,0,True,
1,rewire_P1_to_X1,modified_branch_rewire,18,18,0,18,0,18,0,18,0,True,
2,rewire_P1_to_X1,modified_branch_rewire,33,33,0,33,0,33,0,33,0,True,
3,rewire_P2_to_X2,modified_branch_rewire,50,50,0,50,0,50,0,50,0,True,
4,rewire_P2_to_X2,modified_branch_rewire,71,71,0,71,0,71,0,71,0,True,
5,rewire_P3_to_X3,modified_branch_rewire,100,100,0,100,0,100,0,100,0,True,
6,rewire_P3_to_X3,modified_branch_rewire,146,146,0,146,0,146,0,146,0,True,
