k_before,k_after,representation,lines_inserted,lines_deleted,lines_changed,tokens_inserted,tokens_deleted,tokens_changed,tree_edit_distance,semantic_payload_fields_added,task_value_occurrences_added,surface_tree_edit_distance,expanded_core_tree_edit_distance,surface_tokens_changed,expanded_tokens_inserted,expanded_tokens_deleted,expanded_tokens_changed
0,1,core_tl,4,0,1,89,0,0,37,6,12,,,,,,
0,1,macro_tl,3,0,1,19,0,0,10,6,8,10,37,0,89,0,0
0,1,explicit,23,0,1,103,2,0,17,6,6,,,,,,
0,1,parameterized,2,0,1,14,0,0,9,6,6,,,,,,
1,2,core_tl,4,0,2,89,0,0,37,6,12,,,,,,
1,2,macro_tl,2,0,1,20,0,0,10,6,8,10,37,0,89,0,0
1,2,explicit,23,0,1,103,0,1,17,6,6,,,,,,
1,2,parameterized,1,0,0,14,0,0,9,6,6,,,,,,
2,3,core_tl,4,0,2,89,0,0,37,6,12,,,,,,
2,3,macro_tl,2,0,1,20,0,0,10,6,8,10,37,0,89,0,0
2,3,explicit,23,0,1,103,0,1,17,6,6,,,,,,
2,3,parameterized,1,0,0,14,0,0,9,6,6,,,,,,
3,4,core_tl,4,0,2,89,0,0,37,6,12,,,,,,
3,4,macro_tl,2,0,1,20,0,0,10,6,8,10,37,0,89,0,0
3,4,explicit,23,0,1,103,0,1,17,6,6,,,,,,
3,4,parameterized,1,0,0,14,0,0,9,6,6,,,,,,
4,5,core_tl,4,0,2,89,0,0,37,6,12,,,,,,
4,5,macro_tl,2,0,1,20,0,0,10,6,8,10,37,0,89,0,0
4,5,explicit,30,0,1,105,0,1,17,6,6,,,,,,
4,5,parameterized,1,0,0,14,0,0,9,6,6,,,,,,
5,6,core_tl,4,0,2,89,0,0,37,6,12,,,,,,
5,6,macro_tl,2,0,1,20,0,0,10,6,8,10,37,0,89,0,0
5,6,explicit,24,0,1,103,0,1,17,6,6,,,,,,
5,6,parameterized,1,0,0,14,0,0,9,6,6,,,,,,
