step_before,step_after,system,files_added,files_deleted,files_modified,lines_inserted,lines_deleted,lines_changed,tokens_inserted,tokens_deleted,tokens_changed,token_churn,ast_edit_distance_sum,infrastructure_changed,new_operator_count,new_schema_section_count,new_config_field_count,new_parser_case_count,new_interpreter_handler_count,expressible_without_infrastructure_change
E0,E1,general_tl_stack,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
E0,E1,specialized_handwritten_dsl,0,0,2,4,0,4,40,0,2,42,52,True,0,1,1,1,1,False
E1,E2,general_tl_stack,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
E1,E2,specialized_handwritten_dsl,0,0,2,15,0,4,72,0,2,74,91,True,0,1,1,1,1,False
E2,E3,general_tl_stack,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
E2,E3,specialized_handwritten_dsl,0,0,2,15,0,3,71,0,2,73,91,True,0,1,1,1,1,False
E3,E4,general_tl_stack,0,0,5,27,0,7,167,0,6,173,194,True,1,0,0,1,1,False
E3,E4,specialized_handwritten_dsl,0,0,2,16,0,2,78,0,2,80,97,True,0,1,1,1,1,False
E4,E5,general_tl_stack,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
E4,E5,specialized_handwritten_dsl,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
E5,E6,general_tl_stack,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
E5,E6,specialized_handwritten_dsl,0,0,2,13,0,2,70,0,2,72,94,True,0,1,1,1,1,False
