step,test_type,num_trajectories,tl_matches,tl_mismatches,dsl_matches,dsl_mismatches,random_seed
E0,base_regression,68,68,0,68,0,
E0,deterministic_new_requirement,0,0,0,0,0,
E0,pairwise_interaction,0,0,0,0,0,
E0,structured_random_valid,4000,4000,0,4000,0,20260910
E0,structured_random_base_invalid,6000,6000,0,6000,0,20260910
E0,structured_random_requirement_violation,0,0,0,0,0,20260910
E0,legacy_regression,800,800,0,800,0,
E1,base_regression,68,68,0,68,0,
E1,deterministic_new_requirement,3,3,0,3,0,
E1,pairwise_interaction,0,0,0,0,0,
E1,structured_random_valid,4000,4000,0,4000,0,20260911
E1,structured_random_base_invalid,2000,2000,0,2000,0,20260911
E1,structured_random_requirement_violation,4000,4000,0,4000,0,20260911
E1,legacy_regression,800,800,0,800,0,
E2,base_regression,68,68,0,68,0,
E2,deterministic_new_requirement,5,5,0,5,0,
E2,pairwise_interaction,2,2,0,2,0,
E2,structured_random_valid,4000,4000,0,4000,0,20260912
E2,structured_random_base_invalid,2000,2000,0,2000,0,20260912
E2,structured_random_requirement_violation,4000,4000,0,4000,0,20260912
E2,legacy_regression,800,800,0,800,0,
E3,base_regression,68,68,0,68,0,
E3,deterministic_new_requirement,6,6,0,6,0,
E3,pairwise_interaction,4,4,0,4,0,
E3,structured_random_valid,4000,4000,0,4000,0,20260913
E3,structured_random_base_invalid,2000,2000,0,2000,0,20260913
E3,structured_random_requirement_violation,4000,4000,0,4000,0,20260913
E3,legacy_regression,800,800,0,800,0,
E4,base_regression,68,68,0,68,0,
E4,deterministic_new_requirement,5,5,0,5,0,
E4,pairwise_interaction,6,6,0,6,0,
E4,structured_random_valid,4000,4000,0,4000,0,20260914
E4,structured_random_base_invalid,2000,2000,0,2000,0,20260914
E4,structured_random_requirement_violation,4000,4000,0,4000,0,20260914
E4,legacy_regression,800,800,0,800,0,
E5,base_regression,68,68,0,68,0,
E5,deterministic_new_requirement,6,6,0,6,0,
E5,pairwise_interaction,8,8,0,8,0,
E5,structured_random_valid,4000,4000,0,4000,0,20260915
E5,structured_random_base_invalid,2000,2000,0,2000,0,20260915
E5,structured_random_requirement_violation,4000,4000,0,4000,0,20260915
E5,legacy_regression,800,800,0,800,0,
E6,base_regression,68,68,0,68,0,
E6,deterministic_new_requirement,11,11,0,11,0,
E6,pairwise_interaction,10,10,0,10,0,
E6,structured_random_valid,4000,4000,0,4000,0,20260916
E6,structured_random_base_invalid,2000,2000,0,2000,0,20260916
E6,structured_random_requirement_violation,4000,4000,0,4000,0,20260916
E6,legacy_regression,800,800,0,800,0,
