task_id,representation,dsl_design,replicate,model,model_revision,temperature,seed,artifact_hash,parse_success,compile_success,runtime_success,unsupported,support_status,hidden_traces_tested,positive_traces,negative_traces,false_accepts,false_rejects,total_mismatches,first_attempt_correct,failure_category,failure_detail,exact_equivalence_checked,exact_equivalence_result,system_prompt_hash,user_prompt_hash,response_hash
audit_01,a1,,0,llama3.2:3b,a80c4f17acd5,0.7,20261100,80d9761a5eceb95497ebe4d332e8af8a83c50a534a459c33145108fd73af0f62,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,FormulaSyntaxError: unexpected character at offset 9,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,de8a6295050ee9278fce621e00bbf5134af51071c03d0f11a22ff82125d0c030
audit_01,a1,,1,llama3.2:3b,a80c4f17acd5,0.7,20261101,20be228c98c03219b22a400390f260afb47055c964e7e0943f761ba1130bf0a7,True,True,True,False,attempted,4500,2734,1766,678,1460,2138,False,other semantic error,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,5e7f6ea3633c2c1b31b8c8b3a6c107e7c5d8d2f100378f2487082980053f54ae
audit_01,a1,,2,llama3.2:3b,a80c4f17acd5,0.7,20261102,3478ba950a3f941fd9a88e208b6db86a142770b8f6b1f01f3a33cd9f8465d1ea,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,FormulaSyntaxError: unexpected character at offset 9,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,8299ab283df29c4c14f3b271b04c533699f34ef00139c4468f60a5878b8b946c
audit_01,a1,,3,llama3.2:3b,a80c4f17acd5,0.7,20261103,ee8de409d9570bfd86ece67f8a82f202b44a4a14142870f5820e34d7adbb5da9,True,True,True,False,attempted,4500,2734,1766,906,1030,1936,False,other semantic error,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,608157802e765ef323fe2f315320c225cad0ad2b56ae2efe2faff67ac1179ec6
audit_01,a1,,4,llama3.2:3b,a80c4f17acd5,0.7,20261104,116327b87e5461b4c8a1ea3c4b60d72361a6962bc09747eae629ec694cc62ab9,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,FormulaSyntaxError: unexpected character at offset 14,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,1429ffbc31a887691a7984c94a76a0e79286c644fdd76774bbe040f3b90a070b
audit_01,a1,,5,llama3.2:3b,a80c4f17acd5,0.7,20261105,fecaf3e976e24b3daf82c977a79ece0871e446911b0d6e1033183505f5fe4192,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"FormulaSyntaxError: expected formula, found None",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,29148c4b08b6803cd1a1d58945903511ba592dc2cc5c6c6d01bdeda13c3b4439
audit_01,a1,,6,llama3.2:3b,a80c4f17acd5,0.7,20261106,e75fc9ef63c692a06b590d3724f6699559538c656e57ac962820b5487bf58419,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,FormulaSyntaxError: unexpected character at offset 8,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,5e2683ae1323a233c24c98c66dc556cc49d6b6a217aca38206e79873103812d5
audit_01,a1,,7,llama3.2:3b,a80c4f17acd5,0.7,20261107,9ca8fe24b648a3a820ae5c50950d24b35de469ba1017f1adf91b48ba4c489c7e,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,FormulaSyntaxError: unexpected character at offset 8,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,a4c82e0a0a4b41846e94fc2b180c1fe89bb9e7473b6eb9f1866b25e4bd84f3b4
audit_01,a1,,8,llama3.2:3b,a80c4f17acd5,0.7,20261108,fecaf3e976e24b3daf82c977a79ece0871e446911b0d6e1033183505f5fe4192,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"FormulaSyntaxError: expected formula, found None",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,29148c4b08b6803cd1a1d58945903511ba592dc2cc5c6c6d01bdeda13c3b4439
audit_01,a1,,9,llama3.2:3b,a80c4f17acd5,0.7,20261109,3b02d7c096ebae721dee584f32eedede79148471e30ae8649f2157782d3724ae,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"FormulaSyntaxError: expected formula, found ')'",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,71e29d529593c1e9a420ee5a993a15e0b13b7a0bc09c7fce52198411ac186fc5,00992619adc6c6bd3b7ce46deeb170fedfeed6d4c9af3d2c67c93e06777ee55d
audit_01,a2a,design_a,0,llama3.2:3b,a80c4f17acd5,0.7,20261200,415b96e2e87cbaa8b6d6415948aa9705f7b3f870909530584129c261e631854f,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"DSLParseError: expected '(' to start a task construct at line 1, column 1",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a1f874671080883941656ad2856d196b6c757194d33b62cb5bbb9e296f61dc4,38757bdb39bc1ade36cf83aa766713e52b912961f43f0a5d05df7a8ec5bcc5dd
audit_01,a2a,design_a,1,llama3.2:3b,a80c4f17acd5,0.7,20261201,620f2dfd431d5045f9b2369e25d673fcf65b4a56fc1405fe123182410f64760f,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"DSLParseError: expected '(' to start a task construct at line 1, column 1",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a1f874671080883941656ad2856d196b6c757194d33b62cb5bbb9e296f61dc4,a37ec37d9e24b4fc20c20e9f6d456f62d490d048edb3e29c7d80b178f598084c
audit_01,a2a,design_a,2,llama3.2:3b,a80c4f17acd5,0.7,20261202,6be1c1fd7601e34cb256a8a866b72d004ede82748cf52ed2a11ee045b29e9888,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"DSLParseError: expected '(' to start a task construct at line 1, column 1",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a1f874671080883941656ad2856d196b6c757194d33b62cb5bbb9e296f61dc4,926b265f2db83e2ce9e72987c82bbc0b5cd1bf6df3bcc27bf7927048a65db3fb
audit_01,a2a,design_a,3,llama3.2:3b,a80c4f17acd5,0.7,20261203,1dd4a59b8b86cfbdab15c7d1e26b55d5d4979c0d97f46aa04f52ab42cad2fd28,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"DSLParseError: expected '(' to start a task construct at line 1, column 1",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a1f874671080883941656ad2856d196b6c757194d33b62cb5bbb9e296f61dc4,5797a2a3a12c9f7cc769b8c5cbf9c06a7b078eb6f1a898872a5110c540bc96fe
audit_01,a2a,design_a,4,llama3.2:3b,a80c4f17acd5,0.7,20261204,c8f25b3c0a1e0ac448e074c3885dde91ddb34169469d01bb901bd9c35effa04f,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"DSLParseError: expected '(' to start a task construct at line 1, column 1",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a1f874671080883941656ad2856d196b6c757194d33b62cb5bbb9e296f61dc4,70862da1d72aab1a7e7865a9a3dd422deed883fe524b7cca10a32d28aac61764
audit_01,a2a,design_a,5,llama3.2:3b,a80c4f17acd5,0.7,20261205,38fc085c047227dc85382b7bbfc88a62f5260105715164da05b6246f20042c03,False,False,False,False,attempted,0,0,0,0,0,0,False,syntax failure,"DSLParseError: expected '(' to start a task construct at line 1, column 1",False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a1f874671080883941656ad2856d196b6c757194d33b62cb5bbb9e296f61dc4,5529b8d12d2317247818597ca33b180d13e98bad1613138da2fed735ed3e5a05
