task_id,design,test_type,num_trajectories,oracle_matches,oracle_mismatches,random_seed
train_01,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_01,design_a,deterministic_random,10000,10000,0,20261101
train_01,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_01,design_b,deterministic_random,10000,10000,0,20261101
train_01,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_01,design_c,deterministic_random,10000,10000,0,20261101
train_02,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_02,design_a,deterministic_random,10000,10000,0,20261101
train_02,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_02,design_b,deterministic_random,10000,10000,0,20261101
train_02,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_02,design_c,deterministic_random,10000,10000,0,20261101
train_03,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_03,design_a,deterministic_random,10000,10000,0,20261101
train_03,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_03,design_b,deterministic_random,10000,10000,0,20261101
train_03,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_03,design_c,deterministic_random,10000,10000,0,20261101
train_04,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_04,design_a,deterministic_random,10000,10000,0,20261101
train_04,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_04,design_b,deterministic_random,10000,10000,0,20261101
train_04,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_04,design_c,deterministic_random,10000,10000,0,20261101
train_05,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_05,design_a,deterministic_random,10000,10000,0,20261101
train_05,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_05,design_b,deterministic_random,10000,10000,0,20261101
train_05,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_05,design_c,deterministic_random,10000,10000,0,20261101
train_06,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_06,design_a,deterministic_random,10000,10000,0,20261101
train_06,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_06,design_b,deterministic_random,10000,10000,0,20261101
train_06,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_06,design_c,deterministic_random,10000,10000,0,20261101
train_07,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_07,design_a,deterministic_random,10000,10000,0,20261101
train_07,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_07,design_b,deterministic_random,10000,10000,0,20261101
train_07,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_07,design_c,deterministic_random,10000,10000,0,20261101
train_08,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_08,design_a,deterministic_random,10000,10000,0,20261101
train_08,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_08,design_b,deterministic_random,10000,10000,0,20261101
train_08,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_08,design_c,deterministic_random,10000,10000,0,20261101
train_09,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_09,design_a,deterministic_random,10000,10000,0,20261101
train_09,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_09,design_b,deterministic_random,10000,10000,0,20261101
train_09,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_09,design_c,deterministic_random,10000,10000,0,20261101
train_10,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_10,design_a,deterministic_random,10000,10000,0,20261101
train_10,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_10,design_b,deterministic_random,10000,10000,0,20261101
train_10,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_10,design_c,deterministic_random,10000,10000,0,20261101
train_11,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_11,design_a,deterministic_random,10000,10000,0,20261101
train_11,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_11,design_b,deterministic_random,10000,10000,0,20261101
train_11,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_11,design_c,deterministic_random,10000,10000,0,20261101
train_12,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_12,design_a,deterministic_random,10000,10000,0,20261101
train_12,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_12,design_b,deterministic_random,10000,10000,0,20261101
train_12,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_12,design_c,deterministic_random,10000,10000,0,20261101
train_13,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_13,design_a,deterministic_random,10000,10000,0,20261101
train_13,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_13,design_b,deterministic_random,10000,10000,0,20261101
train_13,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_13,design_c,deterministic_random,10000,10000,0,20261101
train_14,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_14,design_a,deterministic_random,10000,10000,0,20261101
train_14,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_14,design_b,deterministic_random,10000,10000,0,20261101
train_14,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_14,design_c,deterministic_random,10000,10000,0,20261101
train_15,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_15,design_a,deterministic_random,10000,10000,0,20261101
train_15,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_15,design_b,deterministic_random,10000,10000,0,20261101
train_15,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_15,design_c,deterministic_random,10000,10000,0,20261101
train_16,design_a,exhaustive_len_0_5,9331,9331,0,20261101
train_16,design_a,deterministic_random,10000,10000,0,20261101
train_16,design_b,exhaustive_len_0_5,9331,9331,0,20261101
train_16,design_b,deterministic_random,10000,10000,0,20261101
train_16,design_c,exhaustive_len_0_5,9331,9331,0,20261101
train_16,design_c,deterministic_random,10000,10000,0,20261101
