task_id,representation,dsl_design,replicate,model,model_revision,temperature,seed,artifact_hash,parse_success,compile_success,runtime_success,unsupported,support_status,hidden_traces_tested,positive_traces,negative_traces,false_accepts,false_rejects,total_mismatches,first_attempt_correct,failure_category,failure_detail,exact_equivalence_checked,exact_equivalence_result,system_prompt_hash,user_prompt_hash,response_hash
audit_01,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,32ca8157306ff280c74394cfc47c4bc7e778bc0d0e93f748bcaedced91d9cf83,True,True,True,False,attempted,4500,1894,2606,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,68d6b1b2dd1fca8b243b342e3abd9ef4368082acad6f7eb309eb570e34a887a8,e0e0e46622c00baec6b4bba4bfe34777d127fea987d56c220b1f10e839334689
audit_01,a2c,design_c,0,claude-haiku-4-5,haiku-4-5-20251001,,,f789227ed821430e1e2e436e1cb57d4e2b9662c2383a92748c5d3869479e4554,True,True,True,False,attempted,4500,1894,2606,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,c9e3476c452c7b9baf1f45d713b991eb098830f6db032c5825d11fc6811687d4,840dc86137bc18d8b8484cded8d1530e88e4851609fdfa6d6a2813f3a2c04e49
audit_01,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,3192e12d5310084b66edf12a0ad14e4f38cd90f4fd3d31950938226b82216041,True,True,True,False,attempted,4500,1894,2606,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,1595beb1085a631358611bea00de776977d2a633cf906f9760856e2458282a7b,3192e12d5310084b66edf12a0ad14e4f38cd90f4fd3d31950938226b82216041
audit_02,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,a67ea09107590f62c10a67e2c3c59a31165e93ce5d013e3b24b9c34f25ba11a3,True,True,True,False,attempted,4500,1537,2963,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,02b57d54d02a51707c36869275b89a96813b6bc7b52b811fbcad99552a33c754,24b1ef3610dc5925f811f9cb20751e5ab1046b4799bee2b0cae5155c71b42633
audit_02,a2b,design_b,0,claude-haiku-4-5,haiku-4-5-20251001,,,18edaa39b865ffc4a64b7279eb4062e12100f5c71d41df3f78d3161d709cc857,True,True,True,False,attempted,4500,1537,2963,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4c9eee0125efc5dcd6ad318de95ba12220d5968fe63162e32b96892342ed7258,55ddda2899ceec5309a0c7061587bb6546f162e08e0b3ee4a280c416daccd474
audit_02,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,3eac20320f45f73c5fc5c92d3a768337767bc7834a9987c7487ecfad04f8836d,True,True,True,False,attempted,4500,1537,2963,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,813c65c2388131ef6c9dde0ab2d36d698fb4d5801e3b899d1202d565769f99ae,3eac20320f45f73c5fc5c92d3a768337767bc7834a9987c7487ecfad04f8836d
audit_03,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,fe8c9e6c65d93ee21ea199ecfa35397b4b1432605dffd43b764dcf4301930887,True,True,True,False,attempted,4500,1474,3026,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4768bdb54213ea329c381f0f67a1f338ec28dffe901dc107aeb066947c17c1f4,fe8c9e6c65d93ee21ea199ecfa35397b4b1432605dffd43b764dcf4301930887
audit_03,a2a,design_a,0,claude-haiku-4-5,haiku-4-5-20251001,,,84f8fef660741ea3923aa5d690a2a58e43989c8e49c9e27a9bce0197a62a8eeb,True,True,True,False,attempted,4500,1474,3026,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,1f2de08f17e3b5889519dc16e5ef8381f3741a994fb1c8a009f25933c8032184,84f8fef660741ea3923aa5d690a2a58e43989c8e49c9e27a9bce0197a62a8eeb
audit_03,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,9dfa15dc00c81e0ce6e23bb756e9e599ada753b36c4b6308868b0226b11f69c2,True,True,True,False,attempted,4500,1474,3026,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,9bffb1fe0f3da85899bedbd0b7b5eb82fcb530d13629f0590556bc14754ec3ce,9dfa15dc00c81e0ce6e23bb756e9e599ada753b36c4b6308868b0226b11f69c2
audit_04,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,98d3fafa856071741cd673c6d1b7945baa4f5967ad8e7450b8a85532650d4c8f,True,True,True,False,attempted,4500,1456,3044,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4a531abfbdcf1a879121588b8941aa044412d75fdb1f4b0722e0b385588e9c70,98d3fafa856071741cd673c6d1b7945baa4f5967ad8e7450b8a85532650d4c8f
audit_04,a2c,design_c,0,claude-haiku-4-5,haiku-4-5-20251001,,,7d304ddb3c8d0bcbdb60042595dc661db979801c06f63ec8ccbef432244f5a3f,True,True,True,False,attempted,4500,1456,3044,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,665fae9364d0dbb1ae15c8b1f31f631d35d38038262aa8cd863c80e3a99c8884,7dc4a6b6a3135ce25af4f246558eaa8bc7474ca0f37fc357537fa24a39b4b6fb
audit_04,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,0012b2694145a52c900ef3b5acecde66aebc83fc45db81e58f3374eee7c0238d,True,True,True,False,attempted,4500,1456,3044,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,f13912a20b405c9f193ba6ed98c3464255a35a7ac03a16d369589d2a78146afd,0012b2694145a52c900ef3b5acecde66aebc83fc45db81e58f3374eee7c0238d
audit_05,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,1964ecf4ae16463d9617ff3750e0ef279df3d71a067faaedd77d9e9d714998c4,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,bb00fc565aab8009802f1cc58e83dabb4ec605fc79c70e394482951d3b7b6e2c,1964ecf4ae16463d9617ff3750e0ef279df3d71a067faaedd77d9e9d714998c4
audit_05,a1,,1,claude-haiku-4-5,haiku-4-5-20251001,,,1964ecf4ae16463d9617ff3750e0ef279df3d71a067faaedd77d9e9d714998c4,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,bb00fc565aab8009802f1cc58e83dabb4ec605fc79c70e394482951d3b7b6e2c,1964ecf4ae16463d9617ff3750e0ef279df3d71a067faaedd77d9e9d714998c4
audit_05,a1,,2,claude-haiku-4-5,haiku-4-5-20251001,,,1964ecf4ae16463d9617ff3750e0ef279df3d71a067faaedd77d9e9d714998c4,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,bb00fc565aab8009802f1cc58e83dabb4ec605fc79c70e394482951d3b7b6e2c,1964ecf4ae16463d9617ff3750e0ef279df3d71a067faaedd77d9e9d714998c4
audit_05,a2b,design_b,0,claude-haiku-4-5,haiku-4-5-20251001,,,b5140035b241f58950efff2aeb83f9c3640c32b7a5181e55fee24b9692fa1507,True,True,True,False,attempted,4500,1579,2921,812,0,812,False,other semantic error,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,b0b4c2eb334e9f7430c9602eda8f8df3b59627460ff349f3cabb1fc3aeaf8015,c34aaee78a48fce644bccc55e2065f783bf5665fe9a89001f198ec51b063b01c
audit_05,a2b,design_b,1,claude-haiku-4-5,haiku-4-5-20251001,,,8dbfe49b3d96a2e008e8e4841bdd120208b85d64e1dcc322d38a70a57da6aef1,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,b0b4c2eb334e9f7430c9602eda8f8df3b59627460ff349f3cabb1fc3aeaf8015,b5dc9e9997f1ff5bc4bba7e94a3253ced51eef6e1dbb35675da02ba24d48b114
audit_05,a2b,design_b,2,claude-haiku-4-5,haiku-4-5-20251001,,,8dbfe49b3d96a2e008e8e4841bdd120208b85d64e1dcc322d38a70a57da6aef1,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,b0b4c2eb334e9f7430c9602eda8f8df3b59627460ff349f3cabb1fc3aeaf8015,8dbfe49b3d96a2e008e8e4841bdd120208b85d64e1dcc322d38a70a57da6aef1
audit_05,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,fc58e07e6923c4d591395acc1eb36a8bc5a14be87171946cb7ac023f7b78bc0c,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4344282e074a18ad79feb6a87a72a23de76d1c306f27986872acf2d6b64aa93e,fc58e07e6923c4d591395acc1eb36a8bc5a14be87171946cb7ac023f7b78bc0c
audit_05,a3,,1,claude-haiku-4-5,haiku-4-5-20251001,,,2f1bebb91c1fab76e5b549ff2862cc8ab226fd01c38b230e51f42ef95ef8d98d,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4344282e074a18ad79feb6a87a72a23de76d1c306f27986872acf2d6b64aa93e,2f1bebb91c1fab76e5b549ff2862cc8ab226fd01c38b230e51f42ef95ef8d98d
audit_05,a3,,2,claude-haiku-4-5,haiku-4-5-20251001,,,1efe7efe0938a3c985d6326bbbf1cff120afef3844e56675b479a8d0969af91d,True,True,True,False,attempted,4500,1579,2921,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,4344282e074a18ad79feb6a87a72a23de76d1c306f27986872acf2d6b64aa93e,1efe7efe0938a3c985d6326bbbf1cff120afef3844e56675b479a8d0969af91d
audit_06,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,1c789c4f02ee90e609cc7060643a0fa94c924e33a90b99d78e0001d99f0e1b56,True,True,True,False,attempted,4500,2160,2340,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,f66966920045b42cfd4185e5cce4199ff4bb30aee8c33acac9d7278cb3e7a0aa,d47774db09842c10b043a48dceb6ccf7e1a2b31a4ed92dfa6073d892eafb726d
audit_06,a2a,design_a,0,claude-haiku-4-5,haiku-4-5-20251001,,,083c680d8e3a23b8cfb748a42f4a59305fe7631cf0a5a8119a3c0a05c0a417fb,True,True,True,False,attempted,4500,2160,2340,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,c9581874b1ae0959da58aafd9e026487fc894ead69a5132819f8cf4d68639a54,bfc1ff48f6ab3b9db8abc6ae0c333ba269df3bdd5a5dfff37c58a3780925e140
audit_06,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,aefe3413e521259abe3125efe572b8f13843f5b1d27a4afd91de425749e2ead7,True,True,True,False,attempted,4500,2160,2340,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,ad96c13aeee9cedb470202e028ebe71b53b09edb0fefd9ed8929d46c8a7901f7,aefe3413e521259abe3125efe572b8f13843f5b1d27a4afd91de425749e2ead7
audit_07,a1,,0,claude-haiku-4-5,haiku-4-5-20251001,,,08ca019905954d7f7fef8157af066f9fc88a732f939d5e6923f5558cd474287b,True,True,True,False,attempted,4500,2137,2363,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,665be48117dfd1a313523335503ed83f820cd0b20df29cb834b1a48e01cc0ae6,08ca019905954d7f7fef8157af066f9fc88a732f939d5e6923f5558cd474287b
audit_07,a2c,design_c,0,claude-haiku-4-5,haiku-4-5-20251001,,,7275ae0d7eb89593491b7f0857da4ec05bc4f044f32cfb26c7c371493e87f7b3,True,True,True,False,attempted,4500,2137,2363,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,cf698415705fb46179d0d6905b40e38f5cd32ae9e63091863d65b46f8905dcbe,41877b187f694f3342cc4cf832b7336e365378e5badcbcabae39c1d9bac9e25b
audit_07,a3,,0,claude-haiku-4-5,haiku-4-5-20251001,,,c0c86fd30542edb67ad5d777659447e5dc0e4dbcf26a655d4e9ea8585a7b854f,True,True,True,False,attempted,4500,2137,2363,0,0,0,True,none,,False,,de9dde5047bc260205e352e0e57d5de9ee53d16141b8bee7b2874204604194b3,b4d34839a3c1944066b2f2de6e307b891c33820127d14f794f19d56129715fed,c0c86fd30542edb67ad5d777659447e5dc0e4dbcf26a655d4e9ea8585a7b854f
