query,representation,cases,correct,inconclusive,wrong,n_a,native_exact,adapter_exact,bounded_only,no_provenance,mean_runtime_ms,max_runtime_ms
B1,a1,30,30,0,0,0,30,0,0,0,6.03,29.91
B1,a2c,30,30,0,0,0,0,30,0,0,6.1,30.9
B1,a3,30,26,4,0,0,0,0,30,0,10.79,84.67
B2,a1,30,30,0,0,0,30,0,0,0,13.04,89.32
B2,a2c,30,30,0,0,0,0,30,0,0,13.03,90.0
B2,a3,30,0,0,0,30,0,0,0,30,,
B3,a1,30,12,0,0,18,12,0,0,0,15.23,62.08
B3,a2c,30,12,0,0,18,0,12,0,0,15.37,61.64
B3,a3,30,9,3,0,18,0,0,12,0,18.44,77.11
B4,a1,30,30,0,0,0,30,0,0,0,6.2,30.59
B4,a2c,30,30,0,0,0,0,30,0,0,6.23,30.85
B4,a3,30,9,21,0,0,0,0,30,0,1319.32,1932.72
B5,a1,30,30,0,0,0,30,0,0,0,6.17,30.69
B5,a2c,30,30,0,0,0,0,30,0,0,6.24,30.86
B5,a3,30,0,0,0,30,0,0,0,30,,
B6,a1,30,30,0,0,0,30,0,0,0,8.74,58.46
B6,a2c,30,30,0,0,0,0,30,0,0,8.81,59.37
B6,a3,30,0,0,0,30,0,0,0,30,,
B7,a1,5,5,0,0,0,5,0,0,0,65.05,168.21
B7,a2c,5,5,0,0,0,0,5,0,0,64.98,167.68
B7,a3,5,5,0,0,0,0,0,5,0,136.69,183.52
B8,a1,30,30,0,0,0,30,0,0,0,4.52,12.67
B8,a2c,30,30,0,0,0,0,30,0,0,4.52,12.52
B8,a3,30,0,0,0,30,0,0,0,30,,
