n,representation,original_characters,modified_characters,source_lines_inserted,source_lines_deleted,source_lines_changed,tokens_inserted,tokens_deleted,tokens_changed,tree_edit_distance,states_added,states_removed,transitions_added,transitions_removed,transitions_changed,conditions_added,conditions_removed,existing_dependencies_changed
1,tl,6,13,0,0,1,5,0,0,3,,,,,,,,
1,explicit_fsm,185,263,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
1,parameterized,17,22,0,0,1,2,0,0,1,,,,,,,,
2,tl,14,21,0,0,1,5,0,0,3,,,,,,,,
2,explicit_fsm,266,344,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
2,parameterized,23,28,0,0,1,2,0,0,1,,,,,,,,
3,tl,22,29,0,0,1,5,0,0,3,,,,,,,,
3,explicit_fsm,347,425,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
3,parameterized,29,34,0,0,1,2,0,0,1,,,,,,,,
4,tl,30,37,0,0,1,5,0,0,3,,,,,,,,
4,explicit_fsm,428,506,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
4,parameterized,35,40,0,0,1,2,0,0,1,,,,,,,,
5,tl,38,45,0,0,1,5,0,0,3,,,,,,,,
5,explicit_fsm,509,587,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
5,parameterized,41,46,0,0,1,2,0,0,1,,,,,,,,
6,tl,46,53,0,0,1,5,0,0,3,,,,,,,,
6,explicit_fsm,590,668,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
6,parameterized,47,52,0,0,1,2,0,0,1,,,,,,,,
7,tl,54,61,0,0,1,5,0,0,3,,,,,,,,
7,explicit_fsm,671,749,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
7,parameterized,53,58,0,0,1,2,0,0,1,,,,,,,,
8,tl,62,69,0,0,1,5,0,0,3,,,,,,,,
8,explicit_fsm,752,830,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
8,parameterized,59,64,0,0,1,2,0,0,1,,,,,,,,
9,tl,70,77,0,0,1,5,0,0,3,,,,,,,,
9,explicit_fsm,833,911,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
9,parameterized,65,70,0,0,1,2,0,0,1,,,,,,,,
10,tl,79,86,0,0,1,5,0,0,3,,,,,,,,
10,explicit_fsm,917,995,2,0,0,12,0,0,5,1,0,1,0,1,1,0,1
10,parameterized,72,77,0,0,1,2,0,0,1,,,,,,,,
